# loglike weights omch2 ombh2 h ns 10^9As b0
1.490046447502287041e-01 2.063611528290848485e-02 6.304667508170828105e-01 9.673935467342026362e-01 2.350402863169811951e+00 1.313340588810063547e+00 0.000000000000000000e+00 -3.482041336939614848e+05
1.266204418612761340e-01 2.272668250361011000e-02 6.647453208013385240e-01 9.940014418400741070e-01 2.880471096067448222e+00 1.351521035268229420e+00 0.000000000000000000e+00 -3.832248399411466089e+05
1.537240796545948640e-01 2.134653162614329192e-02 7.334419927170534592e-01 9.373943338285872784e-01 2.268303058928752058e+00 1.368272846403274290e+00 0.000000000000000000e+00 -4.363185273489351384e+05
1.301834523795677989e-01 1.900051030266891247e-02 6.741193701004802863e-01 9.243760154615688895e-01 2.566402000126134730e+00 5.150692257206810343e-01 0.000000000000000000e+00 -8.840891147906328551e+05
1.011532832058558290e-01 1.884629519456071031e-02 7.032317013909418213e-01 9.788222700091870898e-01 2.700195865413551388e+00 7.562048308134764474e-01 0.000000000000000000e+00 -2.657285904152549338e+05
8.976850112226314460e-02 1.900711487922387977e-02 6.212872270004424768e-01 9.302639038401883109e-01 2.680303360732135154e+00 9.686564527781712508e-01 0.000000000000000000e+00 -1.048633907073767041e+05
1.056429089200462412e-01 2.556134645649623185e-02 6.556838660705789357e-01 9.407372712630082123e-01 2.209369409905509229e+00 9.335763921868215354e-01 0.000000000000000000e+00 -2.044647617850278621e+05
9.135156226608065477e-02 2.461934451264296414e-02 6.113567699380770826e-01 9.810670164905971324e-01 2.192642762693649772e+00 7.444200732967855005e-01 0.000000000000000000e+00 -1.171580509549455484e+06
1.412378335017696607e-01 1.812323497271154174e-02 6.499720413076806036e-01 9.829221850398047744e-01 2.085250687332149244e+00 1.448753684559179078e+00 0.000000000000000000e+00 -3.901774245464783744e+05
1.498370183934200628e-01 2.506353922925989158e-02 7.380935401805006624e-01 9.623676540099608268e-01 2.772221335768422446e+00 1.082361817627007117e+00 0.000000000000000000e+00 -1.985323161620849860e+05
1.006945931082791068e-01 2.155496161511791936e-02 7.476014154209638107e-01 9.648216329483030318e-01 2.083579968442302199e+00 9.418364934316120207e-01 0.000000000000000000e+00 -2.147769281768629153e+05
1.306095577033716815e-01 1.921594896484570339e-02 6.607045294332029028e-01 9.924263162690529771e-01 2.755797483384367474e+00 1.154448881957758744e+00 0.000000000000000000e+00 -2.017384673355655104e+05
9.133641999645739085e-02 2.214903861057868767e-02 6.610722228940102418e-01 9.523717145765465686e-01 2.493501410798950602e+00 8.870292953399175895e-01 0.000000000000000000e+00 -3.106230362069055554e+05
1.431203639487433066e-01 2.154162016312683933e-02 7.108764482062981394e-01 9.494523868777504649e-01 2.230020646724877764e+00 1.407036396043992443e+00 0.000000000000000000e+00 -3.778015366987715825e+05
1.246717737042542101e-01 2.664563935227856964e-02 7.251670691873715047e-01 9.705896550895681818e-01 2.954376030558131472e+00 1.314635419187144327e+00 0.000000000000000000e+00 -2.963327855082422611e+05
1.015056375798878141e-01 2.112079366673046479e-02 6.950371986648935518e-01 9.970651383563574610e-01 2.434802782205932381e+00 6.114570859948070813e-01 0.000000000000000000e+00 -1.063936058818462072e+06
1.522268385660748291e-01 2.409362438778911084e-02 7.276086106541992393e-01 9.357819392758568444e-01 2.054137600893424676e+00 6.593518017554528265e-01 0.000000000000000000e+00 -3.155622753578371485e+05
1.079258237648148960e-01 1.960550987980934357e-02 6.309172336260164826e-01 9.287718368111147482e-01 2.960589211121013253e+00 5.159572238787354381e-01 0.000000000000000000e+00 -1.158950666691404535e+06
1.278794588288581224e-01 2.522198525969180510e-02 7.369878570287291542e-01 9.640255150419749786e-01 2.036413347744337354e+00 6.279787801756330223e-01 0.000000000000000000e+00 -8.056165007669538027e+05
1.200780159433664229e-01 1.960195174753969621e-02 6.238578033463549888e-01 9.794950315435240196e-01 2.190045480754220009e+00 5.675922332570719764e-01 0.000000000000000000e+00 -1.099778278989717597e+06
8.938216433487196355e-02 2.164530361041838366e-02 7.185045511475497415e-01 9.546113377779246179e-01 2.333261952204400469e+00 1.013687166719780208e+00 0.000000000000000000e+00 -1.757640811072768411e+05
1.548933087600426750e-01 1.933954696045260893e-02 6.657781603471681908e-01 9.865488327058413720e-01 2.972193466952055996e+00 1.155917604684679745e+00 0.000000000000000000e+00 -4.393173449307666742e+05
